1,1,a,2,0,バーチャルは、「（１）にはそうではないが、（２）にはそうである」という意味である
2,1,b,2,0,バーチャルリアリティの三要素とは、「3次元の空間性」、「（３）」、および自己投射性」である。\n「3次元の空間性」とはコンピュータ(computer)が生成した立体的な視覚空間、立体的な（４）\nが人間の周りに広がることである。3次元の映画などはこの要素を備えているが、一方で家庭用のコ\nンピュータゲーム(game)のように、物体の後ろに回り込んだり、物体を動かしたりする「（３）」\nが欠けている。また、人口環境の中で人間の異なる感覚モダリティ(modality)の間に矛盾のない状態\nが実現されることを「自己投射性」とよぶ。
3,1,c,2,0,VR技術は、ユーザに現実感を与えるために（５）によって感覚入力を生成し、ユーザの運動を\n出力として捉えて（６）を実行するというループが円滑にまわることを目指している
4,1,d,1,0,バーチャルと人間の認知機構について、間違っている記述は（７）である。\n\nア.人間がとらえている世界は、人間の認知機構のアポステリオリ(a_posteriori)な仕組みにより認識され\nている。\nイ.人間の視覚が検出する電磁波の波長の領域はおよそ380nm～780nmである。\nウ.人間の聴覚が検出する空気の振動の周波数領域はおよそ20Hz～20kHzである。\nエ.自然の色とスペクトル(spectrum)が異なる光でも本物と同一の発火パターン(pattern)を錐体細胞\nに励起させれば、まったく同じ色に見える。\nオ.人間が現前していない空間であっても、VRの三要素を考慮して的確な情報抽出をすれば、現前し\nているのと同等な効果を引き起こすことができる。
5,2,a,2,0,コンピュータグラフィックスの分野では1968年、I.Sutherlandが（８）Displayという概念を提\n唱し、最初のHMD(Head_Mounted_Display)を開発した。このHMDは小型CRTに提示された映像を\nハーフミラーを介してみる（９）シースルーのシステムであり、頭部には利用者の頭の回転を計\n測する機械式のリンク機構が取り付けられていた。
6,2,b,3,0,1968年に開発された（１０）とは、テレイグジスタンスの概念を実現するために開発されたマス\nタースレーブ(master_slave)型のロボットである。これは（１１）ロボットの視覚情報や力覚情\n報を（１２）側の操縦者に立体視映像や力覚フィードバックを用いて提示することで、操縦者が\n実際にロボットに成り代わっているような感覚を生成する。
7,2,c,1,0,ノースカロライナ(North_Carolina)大学で行われたCG映像に触ることを目指した「GROPE」プロジェ\nクト(project)では（１３）の力覚フィードバック装置を用い、分子結合シミュレーションの結\n果として得られる分子間反力を力覚で表現する試み等が行われた。
8,2,d,1,0,1980年代にMITのMedia_Lab.で開発された、部屋全体をコンピュータのインタフェース\nとして利用する（１４）では、椅子に座った利用者が壁面スクリーン(screen)に提示された情報\nを音声ジェスチャ(gesture)によって操作することができた。
9,3,a,1,0,バーチャルリアリティの基本構成について、最も適切な記述は（１５）である。\n\nア.バーチャルリアリティの分野における出力システム、すなわちディスプレイ(display)は、触覚刺\n激の創出機構のみを指す。\nイ.バーチャルリアリティを構成する要素である入力システムは、感覚器を介してユーザ(user)から\nシステムへ伝わる情報の流れを司る。\nウ.バーチャルリアリティの入力システムの場合、物を操作するのであれば、手を伸ばして掴み、指先\nで握るという操作が模擬される必要がある。\nエ.バーチャルリアリティシステムを構成するディスプレイと入力システムは、システムとバーチャル\n世界の間のインタフェース(interface)を司る。\nオ.バーチャルリアリティシステムでは、インタラクティブ(interactive)な表現を行うため、人間の操\n作入力に対して、体験世界のシミュレーション(simulation)を行うことなく、直ちに出力を行わな\nければならない。
10,3,b,1,0,バーチャルリアリティ世界についての記述の中で、適切でないものは（１６）である。\n\nア.100%バーチャルリアリティのために作りこまれた世界では、その中に存在するさまざまな物体相\n互換の高速関係や相互作用を、最初からスクラッチビルド(scratch-and-build)する必要がある。\nイ.遠方の世界がバーチャルリアリティの世界に接続されるような例として、テレイグジスタンスがあ\nげられる。\nウ.バーチャルリアリティの世界を、インターネット(internet)に展開されるデータ(data)世界と接\n続することは、安全面の観点から行われない。\nエ.遠方のロボット(robot)を高い臨場感のもとで操作する場合、ユーザがあたかもその遠方世界にテ\nレポートしたような状況を作り出すことができる。\nオ.バーチャルリアリティ世界においては、表面的に感じられる世界の裏側に存在する深層的な現実感\nを生成するためのリアルタイムシミュレーション(realtime_simulation)の仕組みが必要である。
11,3,c,1,0,バーチャルリアリティの概念モデル(model)として、MITから提案されたAIPキューブ(cube)につ\nいて次の記述の中で、適切でないものは（１７）である。\n\nア.AはAutonomy(自律性)、IはInteraction(対話性)、PはPresence(臨場感)である。\nイ.現在存在する多くの電子メディアは、AIPキューブのいずれかの頂点にプロットされる。\nウ.AIPの立方体において、AIP3要素のすべてを有するものが理想的なVRである。\nエ.Pは、高臨場感型ディスプレイと対応づけることのできる要素である。\nオ.AIPキューブが与える枠組みは、現状のメディア技術とバーチャルリアリティとの間の位置づけを\n論じる上で、有効である。
